p_date,ad_id,delivery_country,queue_market,punish_num,latest_punish_begin_date,ad_revenue,avg_ad_revenue,start_time,baseline_st,product_line,task_type_en
20230807,1747578422390810 ,US,USCA,1,24/7/23,5132.17,4795.25,24/10/22 14:36,1.78,Auction Ads,auction_relation
20230807,1758543228094480 ,SA,MENA,1,14/6/23,1976.25,1063.767,22/2/23 15:50,1.67,RIE,Ad Group Recall (Merged)
20230807,1738303151826990 ,AU,AU,2,24/7/23,1.7355,5.365,14/7/22 5:00,1.84,Auction Ads,auction_relation
20230807,1738303920938010 ,NZ,NZ,2,24/7/23,,5.365,14/7/22 5:16,1.58,Auction Ads,auction_relation
20230807,1738304016410620 ,NZ,NZ,2,24/7/23,1.525,5.365,14/7/22 5:17,1.58,Auction Ads,auction_relation
20230807,1738304421208090 ,NZ,NZ,2,24/7/23,0.7889,5.365,14/7/22 5:24,1.58,Auction Ads,auction_relation
20230807,1738304605976620 ,NZ,NZ,2,24/7/23,0.8151,5.365,14/7/22 5:26,1.58,Auction Ads,auction_relation
20230807,1724385503656970 ,FI,Other,1,27/6/23,363.3607,491.045,10/2/22 14:07,1.62,RIE,Ad Group Recall (Merged)
20230807,1764813273437210 ,US,USCA,1,5/7/23,495.17,688.138,2/5/23 20:51,1.78,Auction Ads,auction_relation
20230807,1763583923607580 ,NZ,NZ,2,24/7/23,1.6763,5.365,19/4/23 6:05,1.58,Auction Ads,auction_relation
20230807,1764585402541070 ,JP,JP,16,4/7/23,517.54,23.7129,30/4/23 8:29,3.21,RIE,Ad Group Recall (Merged)
20230807,1765089254920220 ,JP,JP,16,4/7/23,530.71,23.7129,5/5/23 21:36,3.21,RIE,Ad Group Recall (Merged)
20230807,1765121170665500 ,JP,JP,16,4/7/23,0,23.7129,6/5/23 6:24,3.21,RIE,Ad Group Recall (Merged)
20230807,1763582835715070 ,MY,MY,4,24/5/23,59.08,24.8528,19/4/23 6:53,2.3,RIE,Ad Group Recall (Merged)
20230807,1763766858169370 ,MY,MY,4,24/5/23,71.45,24.8528,21/4/23 7:38,2.3,RIE,Ad Group Recall (Merged)
20230807,1767664297198600 ,JP,JP,16,4/7/23,547.4,23.7129,3/6/23 8:10,3.21,RIE,Ad Group Recall (Merged)
20230807,1767664297196540 ,JP,JP,16,4/7/23,528.14,23.7129,3/6/23 8:10,3.21,RIE,Ad Group Recall (Merged)
20230807,1767540892154930 ,US,US&CA,2,30/6/23,20.47,3.9069,2/6/23 7:01,1.81,RIE,Ad Group Recall (Merged)
20230807,1767027023555630 ,TH,TH,4,24/5/23,31.78,24.8528,27/5/23 7:20,1.87,RIE,Ad Group Recall (Merged)
20230807,1767187528079370 ,ID,ID,4,24/5/23,35.27,24.8528,29/5/23 2:01,2.05,RIE,Ad Group Recall (Merged)
20230807,1767187070801970 ,ID,ID,4,24/5/23,36.48,24.8528,29/5/23 2:01,2.05,RIE,Ad Group Recall (Merged)
20230807,1767187070787580 ,ID,ID,4,24/5/23,31.67,24.8528,29/5/23 2:01,2.05,RIE,Ad Group Recall (Merged)
20230807,1767187070795790 ,ID,ID,4,24/5/23,61.17,24.8528,29/5/23 2:01,2.05,RIE,Ad Group Recall (Merged)
20230807,1767392366439450 ,TH,TH,4,24/5/23,217.8,24.8528,31/5/23 8:04,1.87,RIE,Ad Group Recall (Merged)
20230807,1760747822381050 ,TR,TR,1,3/8/23,30.0939,59.163,18/3/23 22:44,1.63,RIE,Ad Group Recall (Merged)
20230807,1760794835125260 ,TR,TR,1,3/8/23,44.839,59.163,19/3/23 10:53,1.63,RIE,Ad Group Recall (Merged)
20230807,1767567705104400 ,VN,VN,4,24/5/23,87.85,24.8528,2/6/23 6:31,2.13,RIE,Ad Group Recall (Merged)
20230807,1760966428402700 ,ID,ID,1,3/8/23,369.29,51.9172,21/3/23 8:45,2.05,RIE,Ad Group Recall (Merged)
20230807,1768110086084620 ,MY,MY,4,24/5/23,54.56,24.8528,8/6/23 6:12,2.3,RIE,Ad Group Recall (Merged)
20230807,1768110086089740 ,MY,MY,4,24/5/23,77.86,24.8528,8/6/23 6:12,2.3,RIE,Ad Group Recall (Merged)
20230807,1763922466157560 ,SA,MENA,1,7/8/23,5.2515,6.6441,22/4/23 23:52,1.78,Auction Ads,auction_relation
20230807,1763922466156570 ,SA,MENA,1,7/8/23,4.7585,6.6441,22/4/23 23:52,1.67,RIE,Ad Group Recall (Merged)
20230807,1769057503455260 ,BR,BR,2,3/7/23,16.2075,18.7293,18/6/23 16:07,1.7,RIE,Ad Group Recall (Merged)
20230807,1752697263961130 ,HU,Others,1,26/6/23,6.37,1.2941,20/12/22 2:10,1.56,Auction Ads,auction_all
20230807,1752556244326410 ,US,US&CA,1,5/6/23,132.67,57.3465,18/12/22 12:50,1.81,RIE,Ad Group Recall (Merged)
20230807,1768634999674930 ,MY,MY,4,24/5/23,131.1,24.8528,14/6/23 1:15,2.3,RIE,Ad Group Recall (Merged)
