ad_id,delivery_country,punish_num,avg_ad_revenue
1747578422390810,US,1.0,4795.25
1758543228094480,SA,1.0,1063.767
1738303151826990,AU,2.0,5.365
1738303920938010,NZ,2.0,5.365
1738304016410620,NZ,2.0,5.365
1738304421208090,NZ,2.0,5.365
1738304605976620,NZ,2.0,5.365
1724385503656970,FI,1.0,491.045
1764813273437210,US,1.0,688.138
1763583923607580,NZ,2.0,5.365
1764585402541070,JP,16.0,23.7129
1765089254920220,JP,16.0,23.7129
1765121170665500,JP,16.0,23.7129
1763582835715070,MY,4.0,24.8528
1763766858169370,MY,4.0,24.8528
1767664297198600,JP,16.0,23.7129
1767664297196540,JP,16.0,23.7129
1767540892154930,US,2.0,3.9069
1767027023555630,TH,4.0,24.8528
1767187528079370,ID,4.0,24.8528
1767187070801970,ID,4.0,24.8528
1767187070787580,ID,4.0,24.8528
1767187070795790,ID,4.0,24.8528
1767392366439450,TH,4.0,24.8528
1760747822381050,TR,1.0,59.163
1760794835125260,TR,1.0,59.163
1767567705104400,VN,4.0,24.8528
1760966428402700,ID,1.0,51.9172
1768110086084620,MY,4.0,24.8528
1768110086089740,MY,4.0,24.8528
1763922466157560,SA,1.0,6.6441
1763922466156570,SA,1.0,6.6441
1769057503455260,BR,2.0,18.7293
1752697263961130,HU,1.0,1.2941
1752556244326410,US,1.0,57.3465
1768634999674930,MY,4.0,24.8528
1761058310589450,KW,1.0,4.4465
1762431676056620,ZA,1.0,19.4757
1769863071097850,DE,1.0,491.045
1762418479993900,SA,1.0,4.4465
1759566736804890,US,1.0,57.3465
1758504515470370,MY,1.0,55.9894
1762072797178930,CA,1.0,0.9749
1762072797178930,US,1.0,0.9749
1762072797178930,GB,1.0,0.9749
1765490213706780,MA,1.0,18.0746
1767591066245170,TR,1.0,59.163
1769433242777640,AR,2.0,9.5609
1769433242777640,BY,2.0,9.5609
1769433242777640,ID,2.0,9.5609
1769433242777640,CL,2.0,9.5609
1769433242777640,NL,2.0,9.5609
1769433242777640,EC,2.0,9.5609
1769433242777640,GR,2.0,9.5609
1769433242777640,UY,2.0,9.5609
1769433242777640,MY,2.0,9.5609
1769433242777640,HU,2.0,9.5609
1769433242777640,PL,2.0,9.5609
1769433242777640,DK,2.0,9.5609
1769433242777640,CH,2.0,9.5609
1769433242777640,AT,2.0,9.5609
1769433242777640,IL,2.0,9.5609
1769433242777640,NZ,2.0,9.5609
1769433242777640,PE,2.0,9.5609
1769433242777640,FI,2.0,9.5609
1769433242777640,CO,2.0,9.5609
1769433242777640,RO,2.0,9.5609
1769433242777640,ZA,2.0,9.5609
1769433242777640,MX,2.0,9.5609
1769433242777640,IE,2.0,9.5609
1769433242777640,PT,2.0,9.5609
1769433242777640,CZ,2.0,9.5609
1769433242777640,AU,2.0,9.5609
1769433242777640,JP,2.0,9.5609
1769433242777640,BR,2.0,9.5609
1769433242777640,BE,2.0,9.5609
1769433242777640,TH,2.0,9.5609
1769433242777640,DE,2.0,9.5609
1769433242777640,SE,2.0,9.5609
1769433242777640,GB,2.0,9.5609
1767310770010140,US,1.0,81.6381
1768381026016250,JP,1.0,7.9693
1769806555515900,GB,1.0,279.5204
1766046145567770,GB,1.0,49.0194
1766040677581840,GB,1.0,4.1173
1768490515148810,MY,1.0,4.8034
1768268537146410,CA,1.0,15.5896
1765513281695790,RO,1.0,34.9448
1767846771557410,CZ,1.0,168.7034
1768683803633710,TR,1.0,59.163
1767929633199130,CO,1.0,14.9087
1767929633199130,KW,1.0,14.9087
1768757338523690,TR,1.0,59.163
1765734253112320,SG,1.0,1.0978
