ad_id,delivery_country,punish_num,avg_ad_revenue,scaled_punish_num,scaled_avg_ad_revenue
1747578422390810,US,1.0,4795.25,0.0625,0.27969613529555193
1758543228094480,SA,1.0,1063.767,0.0625,0.06204713388351877
1738303151826990,AU,2.0,5.365,0.125,0.0003129283699203662
1738303920938010,NZ,2.0,5.365,0.125,0.0003129283699203662
1738304016410620,NZ,2.0,5.365,0.125,0.0003129283699203662
1738304421208090,NZ,2.0,5.365,0.125,0.0003129283699203662
1738304605976620,NZ,2.0,5.365,0.125,0.0003129283699203662
1724385503656970,FI,1.0,491.045,0.0625,0.028641549190595753
1764813273437210,US,1.0,688.138,0.0625,0.04013754009697315
1763583923607580,NZ,2.0,5.365,0.125,0.0003129283699203662
1764585402541070,JP,16.0,23.7129,1.0,0.001383120063948677
1765089254920220,JP,16.0,23.7129,1.0,0.001383120063948677
1765121170665500,JP,16.0,23.7129,1.0,0.001383120063948677
1763582835715070,MY,4.0,24.8528,0.25,0.001449607864297647
1763766858169370,MY,4.0,24.8528,0.25,0.001449607864297647
1767664297198600,JP,16.0,23.7129,1.0,0.001383120063948677
1767664297196540,JP,16.0,23.7129,1.0,0.001383120063948677
1767540892154930,US,2.0,3.9069,0.125,0.00022788068004508456
1767027023555630,TH,4.0,24.8528,0.25,0.001449607864297647
1767187528079370,ID,4.0,24.8528,0.25,0.001449607864297647
1767187070801970,ID,4.0,24.8528,0.25,0.001449607864297647
1767187070787580,ID,4.0,24.8528,0.25,0.001449607864297647
1767187070795790,ID,4.0,24.8528,0.25,0.001449607864297647
1767392366439450,TH,4.0,24.8528,0.25,0.001449607864297647
1760747822381050,TR,1.0,59.163,0.0625,0.0034508445758804516
1760794835125260,TR,1.0,59.163,0.0625,0.0034508445758804516
1767567705104400,VN,4.0,24.8528,0.25,0.001449607864297647
1760966428402700,ID,1.0,51.9172,0.0625,0.0030282133768554775
1768110086084620,MY,4.0,24.8528,0.25,0.001449607864297647
1768110086089740,MY,4.0,24.8528,0.25,0.001449607864297647
1763922466157560,SA,1.0,6.6441,0.0625,0.00038753539284024324
1763922466156570,SA,1.0,6.6441,0.0625,0.00038753539284024324
1769057503455260,BR,2.0,18.7293,0.125,0.0010924378972506084
1752697263961130,HU,1.0,1.2941,0.0625,7.548193914519029e-05
1752556244326410,US,1.0,57.3465,0.0625,0.0033448922209950195
1768634999674930,MY,4.0,24.8528,0.25,0.001449607864297647
1761058310589450,KW,1.0,4.4465,0.0625,0.00025935433305701924
1762431676056620,ZA,1.0,19.4757,0.0625,0.0011359737286221949
1769863071097850,DE,1.0,491.045,0.0625,0.028641549190595753
1762418479993900,SA,1.0,4.4465,0.0625,0.00025935433305701924
1759566736804890,US,1.0,57.3465,0.0625,0.0033448922209950195
1758504515470370,MY,1.0,55.9894,0.0625,0.003265735633703514
1762072797178930,CA,1.0,0.9749,0.0625,5.6863721870524694e-05
1762072797178930,US,1.0,0.9749,0.0625,5.6863721870524694e-05
1762072797178930,GB,1.0,0.9749,0.0625,5.6863721870524694e-05
1765490213706780,MA,1.0,18.0746,0.0625,0.0010542507204031036
1767591066245170,TR,1.0,59.163,0.0625,0.0034508445758804516
1769433242777640,AR,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,BY,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,ID,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,CL,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,NL,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,EC,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,GR,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,UY,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,MY,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,HU,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,PL,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,DK,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,CH,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,AT,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,IL,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,NZ,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,PE,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,FI,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,CO,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,RO,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,ZA,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,MX,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,IE,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,PT,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,CZ,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,AU,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,JP,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,BR,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,BE,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,TH,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,DE,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,SE,2.0,9.5609,0.125,0.000557665769239819
1769433242777640,GB,2.0,9.5609,0.125,0.000557665769239819
1767310770010140,US,1.0,81.6381,0.0625,0.00476176655291628
1768381026016250,JP,1.0,7.9693,0.0625,0.00046483132495924964
1769806555515900,GB,1.0,279.5204,0.0625,0.01630379555106966
1766046145567770,GB,1.0,49.0194,0.0625,0.0028591912276746314
1766040677581840,GB,1.0,4.1173,0.0625,0.0002401528382988115
1768490515148810,MY,1.0,4.8034,0.0625,0.00028017150644463873
1768268537146410,CA,1.0,15.5896,0.0625,0.0009093062657428781
1765513281695790,RO,1.0,34.9448,0.0625,0.00203825150068839
1767846771557410,CZ,1.0,168.7034,0.0625,0.00984008946170056
1768683803633710,TR,1.0,59.163,0.0625,0.0034508445758804516
1767929633199130,CO,1.0,14.9087,0.0625,0.0008695909018884927
1767929633199130,KW,1.0,14.9087,0.0625,0.0008695909018884927
1768757338523690,TR,1.0,59.163,0.0625,0.0034508445758804516
1765734253112320,SG,1.0,1.0978,0.0625,6.40322021432578e-05
1765734253112320,PH,1.0,1.0978,0.0625,6.40322021432578e-05
1765734253112320,MY,1.0,1.0978,0.0625,6.40322021432578e-05
1768609334612000,SA,1.0,15.5434,0.0625,0.0009066115237689133
1768609350813740,SA,1.0,15.5434,0.0625,0.0009066115237689133
1765745209394210,SG,1.0,1.0978,0.0625,6.40322021432578e-05
1765745209394210,PH,1.0,1.0978,0.0625,6.40322021432578e-05
1765745209394210,MY,1.0,1.0978,0.0625,6.40322021432578e-05
1768709743069210,CA,1.0,15.5896,0.0625,0.0009093062657428781
1768709743049760,CA,1.0,15.5896,0.0625,0.0009093062657428781
1768730973191180,SA,1.0,15.5434,0.0625,0.0009066115237689133
1768512067480590,US,1.0,223.6033,0.0625,0.013042277013572155
1771745713852450,AU,2.0,6.0239,0.125,0.0003513605233109588
1768785234541580,CA,1.0,15.5896,0.0625,0.0009093062657428781
1771349897478160,US,1.0,459.7409,0.0625,0.026815651523340558
1769152194142240,US,1.0,60.0674,0.0625,0.0035035961914920044
1766766741748780,TH,1.0,13.3403,0.0625,0.0007781096613697411
1769697873196060,TR,1.0,59.163,0.0625,0.0034508445758804516
1766982916600860,HU,1.0,29.3904,0.0625,0.0017142758552297355
1767036397794300,JP,1.0,18.0365,0.0625,0.001052028433190808
1769414692328490,SA,1.0,15.5434,0.0625,0.0009066115237689133
1768231345710090,RO,1.0,79.5937,0.0625,0.004642521304180923
1769403466410030,SA,1.0,149.3789,0.0625,0.008712934888629523
1768161167809570,UY,1.0,39.0852,0.0625,0.002279751709974184
1770001135619120,AE,1.0,7.4989,0.0625,0.00043739395213342663
1767389794976760,ID,1.0,10.8649,0.0625,0.0006337251530937161
1767389794976760,ID,1.0,10.8649,0.0625,0.0006337251530937161
1769173727700010,US,1.0,183.2936,0.0625,0.010691102975738236
1771048102945790,BR,1.0,272.6306,0.0625,0.015901929030458787
1771049136816140,BR,1.0,272.6306,0.0625,0.015901929030458787
1770014546613260,KR,1.0,21.7403,0.0625,0.0012680627475451514
1769802647342090,FI,1.0,51.0029,0.0625,0.002974884316535218
1770229431976990,SA,1.0,15.5434,0.0625,0.0009066115237689133
1770291097272330,US,1.0,16.2729,0.0625,0.0009491616161933135
1770530310087680,SA,1.0,36.7482,0.0625,0.002143439762070382
1772305673447440,CA,2.0,44.2432,0.125,0.0025806062359852275
1770137213733900,GB,1.0,37.4693,0.0625,0.002185499901408607
1769919201437720,VN,1.0,1.1233,0.0625,6.551955972629028e-05
1769945885108220,MA,1.0,4.4465,0.0625,0.00025935433305701924
1769239917258780,IT,1.0,20.6348,0.0625,0.001203581421739566
1769240090317870,IT,1.0,20.6348,0.0625,0.001203581421739566
1770109620602920,EG,1.0,4.4465,0.0625,0.00025935433305701924
1768663964190730,TH,1.0,13.3403,0.0625,0.0007781096613697411
1770526992146430,MA,1.0,183.2936,0.0625,0.010691102975738236
1770526992146430,PL,1.0,183.2936,0.0625,0.010691102975738236
1770783597742080,US,1.0,73.3632,0.0625,0.004279110268059983
1770783597742080,US,1.0,73.3632,0.0625,0.004279110268059983
1770618315063340,CA,1.0,51.0029,0.0625,0.002974884316535218
1770618315063340,CA,1.0,51.0029,0.0625,0.002974884316535218
1770618315063340,US,1.0,51.0029,0.0625,0.002974884316535218
1770510050770960,MX,1.0,3.9622,0.0625,0.00023110620452907268
1771026424929280,KH,1.0,53.9181,0.0625,0.0031449213685374273
1770774645761070,CA,1.0,51.0029,0.0625,0.002974884316535218
1770774645761070,US,1.0,51.0029,0.0625,0.002974884316535218
1770774645761070,US,1.0,51.0029,0.0625,0.002974884316535218
1769750040597520,ID,1.0,8.2306,0.0625,0.0004800723656042062
1769643422768160,TH,1.0,13.3403,0.0625,0.0007781096613697411
1771054132721680,NZ,1.0,51.0029,0.0625,0.002974884316535218
1771496742750200,CA,1.0,46.883,0.0625,0.002734579826090686
1771393422269490,ID,1.0,97.3635,0.0625,0.005678993726885661
1771473761239070,ZA,1.0,19.4858,0.0625,0.0011365628388805727
1771438703302690,BR,1.0,0.4089,0.0625,2.385021630203872e-05
1769826449034250,CA,0.0,17144.4986,0.0,1.0
1771363718537210,MY,1.0,18.4393,0.0625,0.001075522850227886
1771529841160190,CO,1.0,2.5196,0.0625,0.0001469625947532814
1771545697096720,MY,1.0,2.4476,0.0625,0.0001427629968717779
1771522842758170,US,1.0,45.3408,0.0625,0.0026446267725788145
1770478520777760,BR,1.0,7.4769,0.0625,0.0004361107416696339
1772318057252860,BR,2.0,78.6434,0.125,0.004587092444919912
1771042475868210,AU,1.0,39.0852,0.0625,0.002279751709974184
1772325058734120,BR,2.0,78.6434,0.125,0.004587092444919912
1771300159769650,CA,1.0,126.1507,0.0625,0.007358086284308134
1771300159769650,ES,1.0,126.1507,0.0625,0.007358086284308134
1771928355293200,CA,1.0,88.9578,0.0625,0.0051887081725446324
1771301336771600,ES,1.0,126.1507,0.0625,0.007358086284308134
1771651292498940,MX,1.0,81.6381,0.0625,0.00476176655291628
1771727856635900,SA,1.0,15.5434,0.0625,0.0009066115237689133
1771728308589610,SA,1.0,15.5434,0.0625,0.0009066115237689133
1771865617242160,US,1.0,97.0489,0.0625,0.0056606438172534254
1771242320018450,GB,1.0,12.6726,0.0625,0.0007391642237936314
1770837186637870,ID,1.0,8.2306,0.0625,0.0004800723656042062
1770837186637870,ID,1.0,8.2306,0.0625,0.0004800723656042062
1772669418796060,NZ,2.0,23.9294,0.125,0.0013957480214673646
1772669418796060,AU,2.0,23.9294,0.125,0.0013957480214673646
1771829420441650,MY,1.0,18.4393,0.0625,0.001075522850227886
1771829420441650,MY,1.0,18.4393,0.0625,0.001075522850227886
1771931148061710,TR,1.0,59.163,0.0625,0.0034508445758804516
1771937246144560,TR,1.0,59.163,0.0625,0.0034508445758804516
1772743630468090,VN,3.0,2.9423,0.1875,0.00017161773398260827
1772744499351580,VN,3.0,2.9423,0.1875,0.00017161773398260827
1772852345794560,CA,2.0,44.2432,0.125,0.0025806062359852275
1772774366423080,VN,3.0,2.9423,0.1875,0.00017161773398260827
1771185756195850,SA,1.0,17.738,0.0625,0.0010346176003070747
1771185756195850,SA,1.0,17.738,0.0625,0.0010346176003070747
1771913417240610,US,1.0,9.1355,0.0625,0.0005328531450899357
1771801444960300,FI,1.0,51.0029,0.0625,0.002974884316535218
1771185708064780,TH,1.0,2.482,0.0625,0.0001447694714151629
1772047094262780,GR,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,CZ,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,HU,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,BH,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,HU,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,ID,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,DK,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,PL,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,TW,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,PT,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,FI,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,PT,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,IL,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,NO,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,FI,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,BE,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,IE,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,PK,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,US,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,CA,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,BR,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,ID,1.0,23.1051,0.0625,0.0013476684584989847
1772047094262780,TW,1.0,23.1051,0.0625,0.0013476684584989847
1771613244955680,RO,1.0,79.5937,0.0625,0.004642521304180923
1771801578430490,BR,1.0,7.1213,0.0625,0.0004153693943548749
1771205328056320,IT,1.0,3.2711,0.0625,0.00019079589764147434
1771873289239600,BE,1.0,183.2936,0.0625,0.010691102975738236
1771873289239600,DK,1.0,183.2936,0.0625,0.010691102975738236
1771873289239600,CA,1.0,183.2936,0.0625,0.010691102975738236
1771297552885760,PL,1.0,7.4769,0.0625,0.0004361107416696339
1772211609189390,NO,1.0,23.1051,0.0625,0.0013476684584989847
1772211865033740,NO,1.0,23.1051,0.0625,0.0013476684584989847
1772212171921440,NO,1.0,23.1051,0.0625,0.0013476684584989847
1771918735167520,US,1.0,23.9488,0.0625,0.0013968795797854362
1771918735167520,US,1.0,23.9488,0.0625,0.0013968795797854362
1772481162313740,CO,1.0,202.7676,0.0625,0.011826977547188228
1771701277824010,IT,1.0,5.4057,0.0625,0.0003153023092783828
1772300010995740,FR,1.0,29.6427,0.0625,0.001728991946139504
1771582535609360,SA,1.0,7.1257,0.0625,0.0004156260364476334
1771582535590930,SA,1.0,7.1257,0.0625,0.0004156260364476334
1771843202912280,AU,1.0,33.0449,0.0625,0.001927434611590216
1772299036812320,RO,1.0,4.4736,0.0625,0.00026093501503741853
1772928814018610,VN,3.0,2.9423,0.1875,0.00017161773398260827
1771566785046570,AE,1.0,1.4044,0.0625,8.191548978866026e-05
1771821740358650,IT,1.0,34.4275,0.0625,0.0020080785564647544
1772050451084370,US,1.0,29.1538,0.0625,0.001700475509969128
1772495933222940,MX,1.0,163.8814,0.0625,0.009558833059136533
1772397052956700,TR,1.0,59.163,0.0625,0.0034508445758804516
1772652497968140,IT,1.0,280.8588,0.0625,0.01638186140946694
1771923224519730,JP,1.0,67.6864,0.0625,0.0039479953062027725
1772344098262030,IT,1.0,14.1795,0.0625,0.0008270583077885988
1772103064900620,KR,1.0,6.4579,0.0625,0.00037667476609668833
1772033749426170,AE,1.0,11.9838,0.0625,0.0006989880707272478
1772453259549690,TH,1.0,22.2582,0.0625,0.0012982706884177996
1772479614618650,LB,1.0,11.4411,0.0625,0.000667333601695415
1772479614618650,SA,1.0,11.4411,0.0625,0.000667333601695415
1772479614618650,EG,1.0,11.4411,0.0625,0.000667333601695415
1772479614618650,FI,1.0,11.4411,0.0625,0.000667333601695415
1772479614618650,QA,1.0,11.4411,0.0625,0.000667333601695415
1772479614618650,DK,1.0,11.4411,0.0625,0.000667333601695415
1772479614618650,IE,1.0,11.4411,0.0625,0.000667333601695415
1772479614618650,OM,1.0,11.4411,0.0625,0.000667333601695415
1772479614618650,NO,1.0,11.4411,0.0625,0.000667333601695415
1772479614618650,AE,1.0,11.4411,0.0625,0.000667333601695415
1772479614618650,MA,1.0,11.4411,0.0625,0.000667333601695415
1771777377688610,GB,1.0,588.9142,0.0625,0.03435003925982415
1772473315170350,DE,1.0,26.4371,0.0625,0.0015420165160152308
